size,f,threads,estimate,duration
200000000,0,1,3.140887181246779,2.851833
200000000,0,1,3.1417450543481373,2.739138
200000000,0,1,3.1414972443105365,2.701981
200000000,0,1,3.1417899236559967,2.680205
200000000,0,1,3.1417710769716654,2.681104
200000000,0,1,3.1412708569181094,2.699161
200000000,0,1,3.1412219173928317,2.691847
200000000,0,1,3.140981560146643,2.654479
200000000,0,1,3.1413517353215523,2.674239
200000000,0,1,3.141131772700114,2.677459
200000000,0,2,3.1416643743618455,1.365934
200000000,0,2,3.1416380870201466,1.372141
200000000,0,2,3.141604813431297,1.371567
200000000,0,2,3.1409763955423324,1.378879
200000000,0,2,3.142046352396701,1.377615
200000000,0,2,3.14204922991067,1.361713
200000000,0,2,3.141366722470926,1.383051
200000000,0,2,3.1416847510093433,1.378794
200000000,0,2,3.141497877451401,1.374161
200000000,0,2,3.141592182646033,1.38413
200000000,0,4,3.1418493082761323,1.29958
200000000,0,4,3.141152671756584,1.295295
200000000,0,4,3.1414018676109126,1.287841
200000000,0,4,3.1409453943228183,1.292263
200000000,0,4,3.1420914183818263,1.286145
200000000,0,4,3.1420355989495885,1.304427
200000000,0,4,3.1412641265001042,1.283213
200000000,0,4,3.1418782959131106,1.280779
200000000,0,4,3.1418579965835094,1.285277
200000000,0,4,3.140955956736738,1.291
200000000,0,8,3.141653229063774,1.286787
200000000,0,8,3.140992231059402,1.286359
200000000,0,8,3.1418642346469676,1.28323
200000000,0,8,3.142072309003892,1.284411
200000000,0,8,3.1420444604960003,1.28715
200000000,0,8,3.141500029254123,1.295097
200000000,0,8,3.140861503067251,1.297328
200000000,0,8,3.141163446224773,1.293353
200000000,0,8,3.1415261926575266,1.281862
200000000,0,8,3.1418268547516575,1.284766
200000000,0,16,3.141377707377549,1.284711
200000000,0,16,3.141767602950057,1.324028
200000000,0,16,3.1419343600474816,1.28646
200000000,0,16,3.141492652713943,1.281385
200000000,0,16,3.141614467742671,1.283709
200000000,0,16,3.141752286441885,1.283185
200000000,0,16,3.141460441392307,1.28071
200000000,0,16,3.1419419837483047,1.289296
200000000,0,16,3.1418424805746565,1.328038
200000000,0,16,3.1419155914793504,1.28226
200000000,0,32,3.1411630134048303,1.299512
200000000,0,32,3.141121830184753,1.284465
200000000,0,32,3.141076449988473,1.293751
200000000,0,32,3.141628858766057,1.282132
200000000,0,32,3.141816185589382,1.281594
200000000,0,32,3.142015330938855,1.283607
200000000,0,32,3.1414039736126553,1.28668
200000000,0,32,3.1412263987195077,1.282503
200000000,0,32,3.1412515538288877,1.290723
200000000,0,32,3.141369919276326,1.284838
200000000,0,64,3.142073273402397,1.28279
200000000,0,64,3.1416528571530837,1.285881
200000000,0,64,3.1418176778277718,1.291692
200000000,0,64,3.141722867452325,1.312807
200000000,0,64,3.1420431674373295,1.296279
200000000,0,64,3.1411499629960127,1.28911
200000000,0,64,3.1419750821326766,1.285323
200000000,0,64,3.1415008499059773,1.289797
200000000,0,64,3.14104448725208,1.287819
200000000,0,64,3.141331733345813,1.289353
200000000,0,128,3.141404078380989,1.287389
200000000,0,128,3.1419888371068447,1.287572
200000000,0,128,3.141268596997892,1.286663
200000000,0,128,3.141973035773096,1.290096
200000000,0,128,3.141264834828368,1.287501
200000000,0,128,3.1410961125853674,1.289103
200000000,0,128,3.141092132390823,1.288163
200000000,0,128,3.1415848656546035,1.286003
200000000,0,128,3.1418155338818714,1.290846
200000000,0,128,3.1421035973639273,1.290048
200000000,0,256,3.1413012127711806,1.315534
200000000,0,256,3.1416901005957567,1.297068
200000000,0,256,3.1416075640086545,1.296634
200000000,0,256,3.141820363875342,1.300723
200000000,0,256,3.140983073158432,1.301126
200000000,0,256,3.141340302564598,1.300007
200000000,0,256,3.141701003728374,1.301531
200000000,0,256,3.1416949208816747,1.296054
200000000,0,256,3.141893457017283,1.292399
200000000,0,256,3.141310725517225,1.305896
200000000,0,512,3.1415965704152087,1.307654
200000000,0,512,3.1415273306332145,1.294678
200000000,0,512,3.1410485490956854,1.296554
200000000,0,512,3.1418944390414194,1.290268
200000000,0,512,3.141683683104271,1.294873
200000000,0,512,3.1415654998545564,1.298445
200000000,0,512,3.1416226106440623,1.299303
200000000,0,512,3.141939072501281,1.287712
200000000,0,512,3.1417326321107852,1.300778
200000000,0,512,3.14129359117478,1.298695
200000000,0,1024,3.141651417786831,1.306779
200000000,0,1024,3.1419048244915344,1.305125
200000000,0,1024,3.141672017479727,1.312526
200000000,0,1024,3.141599477329398,1.305619
200000000,0,1024,3.1418624845359364,1.309208
200000000,0,1024,3.1412221358979235,1.306797
200000000,0,1024,3.142233602050039,1.303431
200000000,0,1024,3.142075753388855,1.311577
200000000,0,1024,3.140988321978233,1.308783
200000000,0,1024,3.1418873695864997,1.309185
200000000,0,2048,3.14166493392486,1.3479
200000000,0,2048,3.1415042322673146,1.358641
200000000,0,2048,3.1419080912675654,1.384389
200000000,0,2048,3.141601308551589,1.346443
200000000,0,2048,3.1410077230353446,1.363906
200000000,0,2048,3.14170546319647,1.337561
200000000,0,2048,3.141764980109925,1.35125
200000000,0,2048,3.1419442983683075,1.344343
200000000,0,2048,3.1417679279396444,1.353375
200000000,0,2048,3.1410922276364794,1.348082
