script,region,img_size,threads,mean,ci
mandelbrot_pth,full,4096,4,1.449862994,0.00044931719691064195
mandelbrot_pth,full,4096,8,1.298426965,0.002655752123035529
mandelbrot_pth,full,4096,16,1.098006399,0.005172190767914133
mandelbrot_pth,full,4096,32,1.026027498,0.0036248490611813155
mandelbrot_pth,full,8192,1,11.605607819,0.0028772921001540145
mandelbrot_pth,full,8192,2,5.9787467,0.0018528327982711111
mandelbrot_pth,full,8192,4,5.791496315,0.001435842642204364
mandelbrot_pth,full,8192,8,5.138187169,0.009554044204995995
mandelbrot_pth,full,8192,16,4.32037438,0.008836726085701175
mandelbrot_pth,full,8192,32,4.054359676,0.007538754485464956
mandelbrot_omp,full,16,1,0.007495904,0.003182516461841662
mandelbrot_omp,full,16,2,0.000870917,3.2010136981649534e-5
mandelbrot_omp,full,16,4,0.002210106,0.00024931049611817485
mandelbrot_omp,full,16,8,0.000881078,2.1188594723346424e-5
mandelbrot_omp,full,16,16,0.001370256,0.000189902019389412
mandelbrot_omp,full,16,32,0.001430711,4.327407660993106e-5
mandelbrot_omp,full,32,1,0.000830939,1.1381971348487946e-5
mandelbrot_omp,full,32,2,0.000856046,1.7031708130630187e-5
mandelbrot_omp,full,32,4,0.002525679,0.0004209446816270781
mandelbrot_omp,full,32,8,0.001356181,0.00017206461602838118
mandelbrot_omp,full,32,16,0.001086392,1.663181262242467e-5
mandelbrot_omp,full,32,32,0.002232495,0.0003149334740792407
mandelbrot_omp,full,64,1,0.001384542,9.86870225631557e-6
mandelbrot_omp,full,64,2,0.001231401,3.594814463886991e-5
mandelbrot_omp,full,64,4,0.003650737,0.0005387608310527936
mandelbrot_omp,full,64,8,0.001591275,8.738462623971047e-5
mandelbrot_omp,full,64,16,0.001577044,3.557961672790274e-5
mandelbrot_omp,full,64,32,0.001836122,1.1494206081215718e-5
mandelbrot_omp,full,128,1,0.003672607,2.6177512121308238e-5
mandelbrot_omp,full,128,2,0.002494133,0.00013402776558635033
mandelbrot_omp,full,128,4,0.004082242,0.00044759234555406954
mandelbrot_omp,full,128,8,0.003139692,0.00019907592918405517
mandelbrot_omp,full,128,16,0.002845273,5.7667054165727515e-5
mandelbrot_omp,full,128,32,0.003336047,5.996339722739697e-5
mandelbrot_omp,full,256,1,0.012374336,6.6726328345489e-5
mandelbrot_omp,full,256,2,0.006839782,3.7306199079848796e-5
mandelbrot_omp,full,256,4,0.008334448,0.00017873475586514584
mandelbrot_omp,full,256,8,0.007116879,0.00019364673266654065
mandelbrot_omp,full,256,16,0.006962227,0.00012902546675369256
mandelbrot_omp,full,256,32,0.00682812,0.00012484732235023863
mandelbrot_omp,full,512,1,0.046370224,9.48438565688853e-5
mandelbrot_omp,full,512,2,0.024279041,5.4173899861430336e-5
mandelbrot_omp,full,512,4,0.028697246,0.0007630510321903605
mandelbrot_omp,full,512,8,0.023189092,0.0003808778253886371
mandelbrot_omp,full,512,16,0.019614398,0.00035620390408223126
mandelbrot_omp,full,512,32,0.019029742,0.0002158440400896537
mandelbrot_omp,full,1024,1,0.186173739,0.0008885159277374753
mandelbrot_omp,full,1024,2,0.094056101,8.744486305648317e-5
mandelbrot_omp,full,1024,4,0.095247162,0.001446352664362959
